product_id,product_name,category,quantity,per_cost,total_cost,threshold,supplier,status,last_updated,image_url
P0036,Keyboard 295,Accessories,281,1054,296174,25,Dell,In Stock,2023-03-28,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0037,Printer 787,Electronics,182,26388,4802616,12,HP,In Stock,2023-04-09,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0038,Laptop 218,Electronics,153,74934,11464902,38,Lenovo,In Stock,2023-09-04,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0039,Headphones 451,Accessories,13,1923,24999,29,Asus,Low Stock,2023-11-15,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0040,Keyboard 472,Accessories,138,1623,223974,50,Lenovo,In Stock,2023-09-25,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0041,Mouse 551,Accessories,274,897,245778,34,Sony,In Stock,2023-02-12,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0042,Tablet 399,Electronics,34,40524,1377816,32,Apple,In Stock,2023-12-31,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0043,Printer 396,Electronics,120,22826,2739120,17,HP,In Stock,2023-02-17,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0044,Monitor 893,Electronics,13,29629,385177,10,Apple,In Stock,2023-12-14,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0045,Phone 343,Electronics,253,25054,6338662,12,Samsung,In Stock,2023-07-17,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0046,Mouse 455,Accessories,183,1835,335805,10,Lenovo,In Stock,2023-09-12,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0047,Monitor 228,Electronics,110,16969,1866590,46,Lenovo,In Stock,2023-11-14,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0048,Laptop 251,Electronics,179,55277,9894583,37,Boat,In Stock,2023-09-13,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0049,Laptop 535,Electronics,255,72328,18443640,30,Lenovo,In Stock,2023-02-23,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0050,Phone 587,Electronics,19,24366,462954,21,Asus,Low Stock,2023-10-06,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0051,Monitor 761,Electronics,142,26956,3827752,29,Dell,In Stock,2023-05-19,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0052,Headphones 298,Accessories,249,1929,480321,22,Asus,In Stock,2023-12-18,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0053,Printer 107,Electronics,19,10657,202483,40,Sony,Low Stock,2023-05-24,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0054,Laptop 811,Electronics,156,57159,8916804,32,Dell,In Stock,2023-07-20,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0055,Smart Watch 756,Accessories,117,8328,974376,29,Dell,In Stock,2023-10-22,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0056,Printer 732,Electronics,165,22643,3736095,34,HP,In Stock,2023-12-01,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0057,Keyboard 354,Accessories,3,1724,5172,44,Asus,Low Stock,2023-02-02,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0058,Power Bank 759,Accessories,223,2914,649822,44,Apple,In Stock,2023-02-05,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0059,Headphones 696,Accessories,190,1515,287850,32,Dell,In Stock,2023-12-03,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0060,Monitor 418,Electronics,45,22327,1004715,37,Asus,In Stock,2023-11-11,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0061,Power Bank 882,Accessories,100,2475,247500,36,Apple,In Stock,2023-06-30,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0062,Power Bank 857,Accessories,154,2160,332640,18,Apple,In Stock,2023-07-19,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0063,Power Bank 570,Accessories,87,2079,180873,38,Sony,In Stock,2023-12-03,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0064,Printer 675,Electronics,219,26552,5814888,34,Apple,In Stock,2024-01-01,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0065,Power Bank 533,Accessories,278,3707,1030546,33,Asus,In Stock,2023-03-31,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0066,Printer 822,Electronics,27,11177,301779,30,Boat,Low Stock,2023-08-19,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0067,Headphones 346,Accessories,228,4688,1068864,40,Samsung,In Stock,2023-05-31,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0068,Smart Watch 308,Accessories,50,8559,427950,48,Sony,In Stock,2023-02-20,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0069,Power Bank 894,Accessories,136,1439,195704,10,Dell,In Stock,2023-06-09,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0070,Power Bank 781,Accessories,217,3231,701127,31,Sony,In Stock,2023-07-20,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0071,Keyboard 320,Accessories,101,2313,233613,27,Asus,In Stock,2023-05-10,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0072,Phone 663,Electronics,238,19273,4586974,27,Samsung,In Stock,2023-12-10,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0073,Laptop 404,Electronics,37,59965,2218705,31,Dell,In Stock,2023-05-02,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0074,Monitor 533,Electronics,286,27553,7880158,40,Sony,In Stock,2023-11-25,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0075,Printer 744,Electronics,19,26638,506122,47,Boat,Low Stock,2023-10-29,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0076,Printer 165,Electronics,191,9959,1902169,33,Boat,In Stock,2023-07-31,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0077,Power Bank 544,Accessories,34,3581,121754,15,Boat,In Stock,2023-01-19,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0078,Keyboard 644,Accessories,190,1513,287470,49,Boat,In Stock,2023-09-01,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0079,Tablet 469,Electronics,132,33764,4456848,47,Boat,In Stock,2023-09-30,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0080,Monitor 350,Electronics,172,25772,4432784,47,HP,In Stock,2023-09-06,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0081,Monitor 240,Electronics,83,21944,1821352,23,Apple,In Stock,2023-07-07,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0082,Headphones 320,Accessories,171,2483,424593,22,Lenovo,In Stock,2023-11-01,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0083,Keyboard 419,Accessories,44,1514,66616,46,Lenovo,Low Stock,2023-08-03,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0084,Printer 223,Electronics,265,24113,6389945,17,Boat,In Stock,2023-05-15,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0085,Monitor 151,Electronics,105,28334,2975070,15,Dell,In Stock,2023-04-26,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0086,Smart Watch 691,Accessories,80,7340,587200,24,Sony,In Stock,2023-07-07,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0087,Printer 439,Electronics,23,15641,359743,35,Boat,Low Stock,2023-07-17,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0088,Phone 895,Electronics,89,20385,1814265,44,Lenovo,In Stock,2023-07-02,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0089,Headphones 962,Accessories,283,3677,1040591,47,HP,In Stock,2023-02-10,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0090,Keyboard 377,Accessories,122,2070,252540,50,Boat,In Stock,2023-04-28,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0091,Keyboard 444,Accessories,11,992,10912,24,Dell,Low Stock,2023-12-07,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0092,Printer 659,Electronics,137,11522,1578514,48,Sony,In Stock,2023-09-01,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0093,Monitor 632,Electronics,42,9440,396480,49,Sony,Low Stock,2023-09-17,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0094,Headphones 512,Accessories,241,1569,378129,32,Apple,In Stock,2023-08-25,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0095,Smart Watch 979,Accessories,104,9767,1015768,17,Dell,In Stock,2023-11-19,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0096,Headphones 143,Accessories,106,4578,485268,42,Apple,In Stock,2023-10-04,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0097,Tablet 438,Electronics,209,43632,9119088,16,Sony,In Stock,2023-04-11,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0098,Monitor 696,Electronics,144,16736,2409984,42,Dell,In Stock,2023-07-28,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0099,Smart Watch 386,Accessories,230,9431,2169130,21,HP,In Stock,2023-01-04,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0100,Keyboard 808,Accessories,186,2468,459048,26,Sony,In Stock,2023-05-29,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0101,Keyboard 998,Accessories,207,2025,419175,31,Sony,In Stock,2023-03-21,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0102,Tablet 238,Electronics,86,33170,2852620,24,Samsung,In Stock,2023-04-23,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0103,Phone 444,Electronics,4,23024,92096,11,Samsung,Low Stock,2023-02-11,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0104,Keyboard 383,Accessories,141,1776,250416,21,Samsung,In Stock,2023-02-02,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0105,Laptop 707,Electronics,137,73021,10003877,20,Lenovo,In Stock,2023-08-10,https://images.unsplash.com/photo-1496181133206-80ce9b88a853
P0106,Smart Watch 669,Accessories,130,7621,990730,21,HP,In Stock,2023-08-07,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0107,Tablet 184,Electronics,269,20539,5524991,31,Lenovo,In Stock,2023-08-14,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0108,Mouse 107,Accessories,181,833,150773,50,Boat,In Stock,2023-05-12,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0109,Power Bank 642,Accessories,159,3686,586074,10,Samsung,In Stock,2023-07-31,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0110,Printer 553,Electronics,211,20034,4227174,32,Sony,In Stock,2023-09-27,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0111,Power Bank 154,Accessories,11,2337,25707,30,Dell,Low Stock,2023-03-06,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0112,Headphones 703,Accessories,22,2513,55286,47,Dell,Low Stock,2023-01-12,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0113,Headphones 145,Accessories,285,4924,1403340,27,Sony,In Stock,2023-07-14,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0114,Mouse 507,Accessories,238,1652,393176,24,HP,In Stock,2023-07-14,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0115,Tablet 295,Electronics,269,36668,9863692,31,Apple,In Stock,2023-01-27,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0116,Power Bank 473,Accessories,164,1978,324392,45,Apple,In Stock,2023-09-24,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0117,Laptop 463,Electronics,219,49350,10807650,26,Dell,In Stock,2023-04-28,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0118,Printer 849,Electronics,240,9502,2280480,49,HP,In Stock,2023-04-04,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0119,Keyboard 285,Accessories,239,2294,548266,48,Apple,In Stock,2024-01-01,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0120,Mouse 686,Accessories,184,806,148304,45,Samsung,In Stock,2023-03-04,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0121,Phone 548,Electronics,61,24985,1524085,37,HP,In Stock,2023-06-12,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0122,Headphones 104,Accessories,244,1941,473604,42,Dell,In Stock,2023-05-04,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0123,Tablet 851,Electronics,75,25402,1905150,32,Dell,In Stock,2023-12-08,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0124,Printer 803,Electronics,27,24983,674541,27,Lenovo,Low Stock,2023-05-31,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0125,Printer 475,Electronics,42,22270,935340,21,Asus,In Stock,2023-07-19,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0126,Tablet 569,Electronics,267,37610,10041870,33,Apple,In Stock,2023-12-17,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0127,Mouse 820,Accessories,48,1849,88752,35,Boat,In Stock,2023-01-20,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0128,Phone 378,Electronics,279,22298,6221142,40,Sony,In Stock,2023-06-07,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0129,Power Bank 569,Accessories,83,3676,305108,30,Apple,In Stock,2023-02-27,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0130,Power Bank 517,Accessories,90,3389,305010,21,Apple,In Stock,2023-02-26,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0131,Tablet 131,Electronics,208,20007,4161456,23,Boat,In Stock,2023-08-17,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0132,Smart Watch 541,Accessories,68,9891,672588,16,Boat,In Stock,2023-12-20,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0133,Mouse 176,Accessories,144,1482,213408,32,Asus,In Stock,2023-10-19,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0134,Smart Watch 487,Accessories,116,10684,1239344,31,Sony,In Stock,2023-03-03,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0135,Mouse 463,Accessories,90,1039,93510,45,Asus,In Stock,2023-10-24,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0136,Tablet 582,Electronics,104,43550,4529200,35,Lenovo,In Stock,2023-11-20,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0137,Laptop 389,Electronics,98,61091,5986918,14,Asus,In Stock,2023-12-05,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0138,Laptop 379,Electronics,80,55110,4408800,11,HP,In Stock,2023-07-17,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0139,Headphones 799,Accessories,251,3064,769064,18,Sony,In Stock,2023-11-01,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0140,Smart Watch 979,Accessories,150,3268,490200,48,Asus,In Stock,2023-10-09,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0141,Printer 882,Electronics,232,9777,2268264,46,Apple,In Stock,2023-09-17,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0142,Phone 843,Electronics,93,15951,1483443,26,Boat,In Stock,2023-01-19,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0143,Laptop 303,Electronics,36,45152,1625472,19,HP,In Stock,2023-05-14,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0144,Headphones 138,Accessories,270,2285,616950,44,Dell,In Stock,2023-01-17,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0145,Power Bank 568,Accessories,48,1666,79968,34,Lenovo,In Stock,2023-07-09,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0146,Printer 905,Electronics,154,27228,4193112,40,Boat,In Stock,2023-05-04,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0147,Mouse 925,Accessories,201,1183,237783,43,Apple,In Stock,2023-06-19,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0148,Phone 720,Electronics,100,27578,2757800,39,Asus,In Stock,2023-10-16,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0149,Keyboard 439,Accessories,243,1914,465102,44,Dell,In Stock,2023-06-13,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0150,Headphones 420,Accessories,151,4660,703660,20,Sony,In Stock,2023-11-13,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0151,Power Bank 103,Accessories,59,3981,234879,35,Dell,In Stock,2023-04-29,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0152,Laptop 617,Electronics,185,51780,9579300,17,Dell,In Stock,2023-11-12,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0153,Tablet 542,Electronics,216,44188,9544608,17,Samsung,In Stock,2023-07-18,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0154,Laptop 842,Electronics,73,52188,3809724,19,Boat,In Stock,2023-08-27,https://images.unsplash.com/photo-1517336714731-489689fd1ca8
P0155,Mouse 869,Accessories,235,761,178835,10,Dell,In Stock,2023-04-04,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0156,Tablet 346,Electronics,99,36312,3594888,48,Sony,In Stock,2023-06-28,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0157,Mouse 919,Accessories,60,622,37320,11,Lenovo,In Stock,2023-10-23,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0158,Monitor 630,Electronics,252,34522,8699544,26,Sony,In Stock,2023-01-27,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
P0159,Headphones 356,Accessories,260,4843,1259180,13,Asus,In Stock,2023-07-20,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0160,Printer 391,Electronics,112,9140,1023680,36,Dell,In Stock,2023-10-21,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0161,Phone 547,Electronics,175,20569,3599575,46,Asus,In Stock,2023-01-11,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0162,Smart Watch 188,Accessories,220,9758,2146760,35,Asus,In Stock,2023-01-01,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0163,Phone 553,Electronics,24,24999,599976,33,HP,Low Stock,2023-03-24,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0164,Tablet 186,Electronics,68,26515,1803020,16,Dell,In Stock,2023-02-08,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0165,Phone 239,Electronics,240,28776,6906240,21,HP,In Stock,2023-07-27,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0166,Phone 225,Electronics,118,15927,1879386,46,Sony,In Stock,2023-09-06,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0167,Phone 469,Electronics,53,27365,1450345,17,Asus,In Stock,2023-08-22,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0168,Phone 118,Electronics,264,18567,4901688,23,Sony,In Stock,2023-09-30,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0169,Mouse 246,Accessories,61,727,44347,43,Apple,In Stock,2023-05-03,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0170,Printer 291,Electronics,83,16812,1395396,29,Lenovo,In Stock,2023-10-12,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0171,Keyboard 494,Accessories,58,2404,139432,14,Apple,In Stock,2023-08-25,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef
P0172,Headphones 413,Accessories,79,2586,204294,49,Boat,In Stock,2023-06-23,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0173,Phone 233,Electronics,1,19732,19732,42,Dell,Low Stock,2023-01-18,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0174,Printer 800,Electronics,177,15771,2791467,31,Lenovo,In Stock,2023-11-27,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0175,Keyboard 942,Accessories,185,2129,393865,35,Sony,In Stock,2023-06-12,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0176,Phone 479,Electronics,172,26679,4588788,36,Boat,In Stock,2023-12-07,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0177,Phone 808,Electronics,155,24189,3749295,46,Asus,In Stock,2023-12-08,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0178,Printer 315,Electronics,249,16790,4180710,31,Dell,In Stock,2023-11-01,https://images.unsplash.com/photo-1612815154858-60aa4c59eaa6
P0179,Power Bank 320,Accessories,293,1591,466163,32,Dell,In Stock,2023-04-10,https://images.unsplash.com/photo-1609592422031-5b17fbd5c5b1
P0180,Phone 479,Electronics,61,27628,1685308,41,Boat,In Stock,2023-05-04,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0181,Mouse 179,Accessories,224,632,141568,14,Boat,In Stock,2023-05-07,https://images.unsplash.com/photo-1629429408209-1f912961dbd8
P0182,Mouse 680,Accessories,189,1233,233037,21,HP,In Stock,2023-06-07,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0183,Phone 622,Electronics,255,21379,5451645,49,Dell,In Stock,2023-11-30,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0184,Keyboard 736,Accessories,162,1143,185166,31,HP,In Stock,2023-01-10,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04
P0185,Smart Watch 626,Accessories,286,6595,1886170,46,Samsung,In Stock,2023-09-26,https://images.unsplash.com/photo-1516574187841-cb9cc2ca948b
P0186,Tablet 126,Electronics,134,40479,5424186,37,Sony,In Stock,2023-12-04,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5
P0187,Mouse 922,Accessories,203,663,134589,17,Apple,In Stock,2023-03-22,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7
P0188,Phone 174,Electronics,0,22490,0,31,Asus,Low Stock,2023-12-18,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9
P0189,Monitor 800,Electronics,157,27129,4259253,49,Samsung,In Stock,2023-10-15,https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc
